-201.185;-919.1;30.6068;2;Barrels;-31.8449;117.134;800;0;0;0;0;0;450;0
-3288.63;-358.969;536.094;2;Car;-21.6798;61.4749;800;0;0;0;0;0;450;0
-3288.63;-358.969;536.094;2;Container;-17.8298;59.7699;800;0;0;0;0;0;450;0
-3611.195557;-177.62674;512.836487;2;Long to Bank;4.685833;45.85442;800;0;1;0;1;0;450;0
-3580.172363;-78.238251;512.93634;2;Long to Back A;6.714474;32.608036;800;0;1;0;1;0;450;0
-3580.172363;-78.238251;512.93634;2;Long to Back A;4.255975;32.542042;800;0;1;0;1;0;450;0
-2079.996582;670.613342;472.093811;2;CT Spawn to Pipe;-17.14472;-61.818825;800;0;0;0;0;0;450;0
-2012.96875;-1231.96875;240.093811;2;Tunnels (Oneway);16.218643;63.144173;800;0;0;0;0;0;450;0
-2191.96875;1311.96875;356.093811;2;Back A (Oneway);-8.86176;-55.390415;800;0;0;0;0;0;450;0
-1929.296509;800.613403;480.093811;2;CT Spawn to Pipe;-13.266983;-67.330742;800;0;0;0;0;0;450;0
-2059.970947;633.612732;472.093811;2;CT Spawn to Monster;-33.990913;-43.224922;800;0;0;0;0;0;450;0
-3320.36084;-358.997864;536.093811;2;Cafe to GSG;-18.134613;62.146011;800;0;0;0;0;0;450;0
-2536.195557;-1056.03125;433.399048;2;Short to B Default;-25.873356;34.544403;800;0;0;0;0;0;450;0
-2351.96875;-414.03125;388.562317;2;Short to Back A;-60.588089;73.825958;800;0;0;0;0;0;450;0
-2537.055664;-1056.03125;433.399078;2;Short to Toxic  |  Pillar;-25.525805;38.119961;800;0;0;0;0;0;450;0
-2351.96875;-790.030823;388.806732;2;Short to Truck (Out);-37.735825;81.105255;800;0;0;0;0;0;450;0
-1751.96875;-671.96875;128.343811;2;Squeaky to Heaven;-21.813353;87.229683;800;0;0;0;0;0;450;0
-613.014099;-1082.017212;42.160416;2;Tracks to Toxic  |  Pillar;-29.337307;99.340714;800;0;0;0;0;0;450;0
-3612.545654;-177.62674;512.791992;2;Long to GSG;-40.392601;51.259613;800;0;0;0;0;0;450;0
-1645.96875;-1087.96875;96.093811;2;Construction to Toxic;-14.603092;62.433121;800;1;0;0;2;0;450;0
